artwork_id,artist_id
116936,
57896,37362.0
127292,44401.0
120557,43578.0
3721,
2833,29845.0
143079,43008.0
108928,41950.0
49888,36788.0
98178,36445.0
23684,31309.0
217671,36290.0
72721,33692.0
24141,36731.0
59471,
136179,37541.0
212189,57259.0
155457,36286.0
216963,31492.0
103237,32705.0
42397,
45452,13347.0
22996,15789.0
220502,36786.0
150655,37413.0
47195,11180.0
96865,30617.0
209395,117550.0
89769,31492.0
729,34587.0
258230,114377.0
186860,35199.0
225700,34956.0
157190,
40650,35656.0
179538,3105.0
94858,37541.0
41942,37424.0
131346,33631.0
224812,7398.0
26486,34946.0
268686,59822.0
187772,103832.0
97777,33031.0
77523,34888.0
21343,
212473,31299.0
151947,35161.0
231313,35839.0
124847,40615.0
143583,26985.0
29773,
139776,36731.0
144246,7141.0
98482,36398.0
53586,34470.0
34842,37074.0
122090,35522.0
63130,37541.0
48260,8446.0
83364,40774.0
127768,10905.0
28861,41137.0
158265,34988.0
193361,53566.0
125755,36326.0
196499,2601.0
51411,40883.0
262321,36169.0
249071,60143.0
143429,50678.0
233284,24742.0
117274,34301.0
141414,48158.0
98528,36398.0
30102,36380.0
66762,40500.0
196533,34467.0
103667,51349.0
155007,26646.0
128537,15155.0
69497,
13662,40447.0
220152,86787.0
134514,37541.0
12970,
182120,34942.0
149024,33873.0
90118,34089.0
59021,45039.0
241441,37022.0
24511,
77489,64112.0
259972,114587.0
187322,50210.0
243186,47845.0
131716,61302.0
21713,54717.0
97327,30636.0
106465,30616.0
222495,34089.0
20801,36845.0
73999,36219.0
89339,37074.0
379,2601.0
225350,35298.0
40200,24188.0
16460,35181.0
9286,30183.0
104458,37402.0
109790,36336.0
83734,36198.0
145904,36540.0
206430,44458.0
250250,117110.0
55901,31094.0
125305,33403.0
19795,13960.0
6173,34693.0
147939,35161.0
159927,98831.0
18887,36624.0
267123,
231743,
112076,
236086,33400.0
197772,2104.0
51942,7866.0
234812,114389.0
121346,43726.0
2130,
126483,35427.0
141947,37541.0
202473,54234.0
254213,116686.0
228831,114277.0
86865,114854.0
140655,37541.0
99769,34033.0
263160,117814.0
147190,15565.0
196860,37401.0
142668,51349.0
58260,32048.0
25750,40769.0
132090,51349.0
240600,115516.0
22095,87637.0
135755,36507.0
38861,114828.0
148265,74071.0
186499,48647.0
39773,
44243,31094.0
198487,109578.0
102426,114854.0
154246,29882.0
24842,
129776,44688.0
156781,37338.0
17621,
224111,33543.0
259421,8871.0
182989,101937.0
39289,40528.0
208584,110752.0
151044,33457.0
118928,34022.0
59888,34726.0
47896,34436.0
238132,115185.0
96166,36210.0
186163,43008.0
130557,34946.0
157893,36731.0
122993,35139.0
63833,33573.0
52397,36247.0
145457,60614.0
28162,33847.0
55452,31706.0
142392,37541.0
124144,12779.0
192570,62187.0
159474,36157.0
80548,46418.0
197288,35220.0
34141,34946.0
123681,33798.0
126179,42364.0
202189,17134.0
116465,
232495,
122839,33630.0
63999,35543.0
99339,33087.0
248660,69449.0
235350,4397.0
120804,1668.0
50200,17312.0
142238,37541.0
114458,38187.0
121716,33354.0
197322,35220.0
249972,
2560,
87327,40610.0
229373,71099.0
67173,
31713,36681.0
12073,744.0
44613,23166.0
182823,33736.0
129326,832.0
68286,25518.0
118882,
59922,12523.0
154616,47487.0
102076,37401.0
25300,34946.0
155904,130.0
119790,35072.0
58630,
93734,36691.0
76298,40869.0
45901,681.0
135305,33865.0
220851,24706.0
157939,34569.0
16899,36811.0
91709,30183.0
96536,30558.0
245052,28190.0
213632,47473.0
76762,
20102,37243.0
130107,
243885,34692.0
12589,
153429,35719.0
105249,36198.0
223284,36233.0
151414,55303.0
212920,42776.0
107274,35851.0
88528,34946.0
192120,62187.0
159024,35670.0
267820,16627.0
62371,40482.0
236985,115964.0
49021,
229689,
126529,34022.0
67489,38860.0
79497,36336.0
145007,34283.0
113667,35577.0
230152,110752.0
28532,40970.0
6870,40529.0
223791,17069.0
151101,
107761,116005.0
68269,36547.0
15759,
102099,
43139,34035.0
270609,57168.0
41104,33985.0
224054,33543.0
8182,37074.0
16876,15430.0
96023,
76277,7998.0
20417,36332.0
55517,36331.0
266227,108022.0
28027,33952.0
79182,
145512,1613.0
113372,40597.0
251154,44799.0
62664,
34004,
49534,12860.0
124001,37319.0
36039,35965.0
87632,40711.0
67466,51349.0
141802,51349.0
202536,8459.0
51807,37279.0
121203,34886.0
197637,110752.0
2075,20140.0
196925,112868.0
235645,34589.0
140710,37541.0
232180,
79478,36336.0
113688,33672.0
52728,
38924,40744.0
135610,
242778,37327.0
214118,112094.0
73075,28934.0
69881,37259.0
181219,44999.0
129633,37236.0
68793,
154303,87627.0
102563,36219.0
241857,36413.0
24907,
12566,
39636,40517.0
186476,103291.0
130042,37321.0
245117,30074.0
20047,26575.0
136895,44242.0
107331,31323.0
43569,
129799,40528.0
68639,
156294,
224404,30844.0
75908,100449.0
198468,2601.0
82060,42037.0
112830,40735.0
251504,80773.0
98894,35139.0
34454,34946.0
123394,34474.0
265958,117820.0
87798,
267965,2898.0
192065,105856.0
36469,35747.0
60209,
189783,71191.0
142687,51349.0
230017,36326.0
6935,40414.0
4908,4355.0
99786,34033.0
113722,40891.0
52682,36397.0
138472,34831.0
235215,44312.0
50345,33884.0
248725,35844.0
189279,110752.0
32979,
219680,117550.0
116520,68269.0
140340,37541.0
30944,
52378,36247.0
79028,35960.0
31656,34454.0
126196,33539.0
67036,
218992,18858.0
249837,117312.0
197267,35220.0
36193,20202.0
121653,77869.0
2425,
102133,30875.0
43093,52231.0
154753,40765.0
129263,63686.0
59867,34241.0
149862,37458.0
182966,101286.0
39266,33890.0
8028,33738.0
12136,37000.0
45844,
27278,
93671,34072.0
58775,32718.0
25245,34946.0
73425,37279.0
155841,37293.0
47879,21993.0
222929,36123.0
96189,40769.0
16175,40718.0
186925,35199.0
9793,36180.0
199629,90107.0
96920,30617.0
103688,51349.0
42728,2664.0
184918,35391.0
69478,30227.0
21206,35381.0
77466,52271.0
151802,35072.0
97632,8741.0
41807,37424.0
224957,10348.0
131203,33728.0
8881,16415.0
144303,7141.0
236593,107761.0
78793,1466.0
29636,37279.0
267436,33577.0
54306,33885.0
125610,33616.0
28924,40990.0
158320,34988.0
19280,33539.0
204118,44703.0
109285,35697.0
48325,
79881,40517.0
63075,37541.0
250745,114277.0
120412,43504.0
263926,117936.0
3664,110752.0
203327,33774.0
116873,
30417,
66277,
86023,40455.0
233791,2820.0
112099,
53139,
260609,116935.0
262634,36363.0
234054,757.0
18868,36845.0
2976,36706.0
188038,61425.0
24004,14549.0
180408,31299.0
208838,110752.0
149531,36343.0
182435,78177.0
268239,36513.0
